"","Date","Lat","Lon","Dep","M"
"129","7/27/2018",-8.45,108.46,10,3.4
"130","7/26/2018",-8.09,108.73,79,3.2
"131","7/26/2018",-7.15,106.09,17,3.1
"132","7/26/2018",-8.52,108.43,40,3.3
"133","7/25/2018",-8.39,107.7,46,4.5
"134","7/24/2018",-7.02,106,13,3.3
"135","7/24/2018",-7.94,107.27,27,3.2
"136","7/24/2018",-8.25,110.69,121,3.3
"137","7/24/2018",-7.99,107.42,17,4.2
"138","7/23/2018",-8.92,113.06,16,3.7
"139","7/21/2018",-6.77,106.65,10,3.4
"140","7/20/2018",-7.57,113.42,183,3.2
"141","7/19/2018",-8.92,111.13,10,4.4
"142","7/16/2018",-8.24,107.62,10,4.7
"143","7/15/2018",-6.96,106.35,10,4.7
"144","7/12/2018",-6.86,106.49,10,3.7
"145","7/10/2018",-8.18,107.32,11,3.7
"146","7/9/2018",-8.76,112.38,87,3.6
"147","7/9/2018",-6.92,106.39,10,3
"148","7/8/2018",-6.9,106.44,10,3.5
"149","7/8/2018",-7.42,106.12,24,3
"150","7/8/2018",-8.88,110.64,70,4.2
"151","7/7/2018",-7.97,107.9,22,3.2
"152","7/7/2018",-8.09,107.9,20,3.4
"153","7/7/2018",-6.74,106.15,28,3.1
"154","7/7/2018",-6.82,106.47,14,3.1
"155","7/7/2018",-6.92,106.4,11,3.1
"156","7/7/2018",-6.88,106.36,12,3.3
"157","7/7/2018",-8.01,107.94,21,3.2
"158","7/7/2018",-6.9,106.42,12,3.6
"159","7/7/2018",-6.93,106.35,11,3.2
"160","7/7/2018",-6.92,106.35,10,3.9
"161","7/7/2018",-6.91,106.4,10,4.7
"162","7/7/2018",-6.92,106.43,10,4.6
"163","7/7/2018",-6.91,106.43,10,4.1
"164","7/7/2018",-6.9,106.43,10,4.4
"165","7/7/2018",-6.9,106.44,15,3.2
"166","7/5/2018",-7.65,105.93,10,3.4
"167","7/5/2018",-8.66,112.54,118,4.1
"168","7/4/2018",-8.93,112.68,34,3.8
"169","7/4/2018",-7.28,107.71,10,3.9
"170","7/4/2018",-7.97,107.04,33,3.3
"171","7/3/2018",-8.69,108.63,38,3.7
"172","7/2/2018",-7.26,105.17,27,3.5
"173","7/1/2018",-8.52,108.84,28,3.1
"174","6/30/2018",-8.03,107.89,19,3.7
"175","6/30/2018",-8.92,108.3,24,3.6
"176","6/29/2018",-7.61,106.48,51,4
"177","6/29/2018",-8.4,108.76,35,3.7
"178","6/28/2018",-7.22,107.15,118,3.5
"179","6/28/2018",-8.27,107.63,10,3.2
"180","6/28/2018",-7.46,110.07,258,4.1
