Kodekec;pengeluaran_perkapita;PT_N;JumlahPondok;JumlahMontir;JumlahBAsing;JumlahPoskesdes;R1206EK2;var;ntl.18;ntl.19;ntl.20;ntl.21;lst_mean;lst_median;lst.celcius;ycap.1;ycap.2;ycap.3b;ycap.4b;ycap.6b
3203090;985661,7624;0;52;0;0;3;4;54187427671;0,366057847;0,348307063;0,402158786;0,477754885;14947,53491;14957,5;26,000;937725,1499;887163,4379;841388,4667;857206,5327;870685,1106
3203100;934741,8741;0;104;39;0;10;5;6889366702;0,371468974;0,362174085;0,42138489;0,508713609;14905,00901;14938;25,610;938147,0358;917831,8913;907566,4689;909721,9983;933457,6561
3203110;798973,6907;0;104;0;0;3;3;2776917934;0,453310607;0,437037265;0,470855477;0,545199831;15008,9596;15013,72852;27,125;798223,0525;799317,822;796405,3284;797335,4717;796542,0671
3203111;980770,5492;0;27;0;0;0;1;35622034081;0,31718518;0,293305906;0,356444219;0,42767021;14899,05136;14939,5;25,640;967326,2863;902540,643;862771,346;875744,7562;899045,7706
3203120;859406,1449;0;158;4;0;6;14;10770902781;0,708635633;0,759784222;0,791512954;0,866717284;15106,29063;15098,33333;28,817;842618,3434;851996,0379;858784,7873;850284,5559;844968,2135
3203130;525460,4572;0;86;3;0;16;14;7425405054;1,122022329;1,171843906;1,147275795;1,307692904;15022,48741;15104,625;28,943;555335,816;568068,9191;556161,2252;567555,7918;563731,6373
3203131;876512,2228;0;82;0;0;2;7;10308172942;1,04287671;1,092763099;1,082042946;1,216372377;14997,44205;15037,21047;27,594;874903,442;869569,7389;862679,2728;863703,6302;864856,3986
3203140;1034396,631;0;137;1;1;3;29;40767264833;1,763895013;1,94817918;1,803991639;1,981515919;15218,82427;15209,40283;31,038;998943,1396;961792,5652;1029701,455;971072,583;977320,9107
3203150;692766,4889;0;82;2;0;5;7;5874330939;1,493880925;1,613358225;1,587040792;1,762774266;15237,45447;15223;31,310;707545,2388;711333,198;718276,1327;714839,6029;714426,58
3203160;662852,951;0;94;0;0;10;6;3838216932;0,619609283;0,656190892;0,718702554;0,779327443;15123,52752;15111;29,070;668404,2736;674133,3156;673181,5834;674087,8107;670976,7923
3203161;797570,2635;0;27;0;1;3;9;57998683017;0,972764938;1,10346249;1,124582976;1,159224026;15185,99998;15193,5;30,720;901797,2218;817348,5228;885025,4354;829759,1005;857267,2584
3203170;618814,8992;0;86;0;0;9;12;6570359803;1,609030108;1,8496164;1,74605067;1,940763739;15237,32663;15234;31,530;640262,6391;649030,4028;654438,4734;653432,9445;650075,4007
3203180;853292,2559;0;26;0;1;7;6;31367185815;0,865071262;0,976321594;0,972158143;1,105849672;15123,33903;15125,13532;29,353;883169,9613;843150,789;865568,5409;842835,8364;850973,0553
3203190;1019440,691;1;127;0;2;8;25;7834045074;2,367940321;2,67506245;2,550659996;2,937318325;15254,77847;15253,5;31,920;1017901,238;1003980,887;1025901,137;1008334,765;1011983,141
